500 5000
468 282 44
468 395 4
468 401 21
468 465 42
468 484 42
469 72 38
469 83 28
469 152 32
469 164 37
469 344 40
469 443 37
469 450 8
469 452 2
470 75 21
470 129 9
470 187 19
470 198 19
470 222 43
470 224 35
470 258 48
470 261 13
470 269 27
470 276 17
470 304 5
470 350 11
470 431 3
470 437 43
471 7 9
471 29 8
471 39 18
471 75 10
471 82 26
471 154 38
471 162 23
471 217 21
471 284 39
471 394 14
471 424 4
472 8 8
472 96 45
472 134 2
472 160 2
472 206 2
472 247 19
472 328 6
472 351 12
472 360 30
472 367 39
472 388 15
472 407 1
472 414 17
472 475 10
473 3 34
473 83 37
473 108 27
473 140 31
473 162 17
473 165 33
473 185 9
473 204 45
473 247 42
473 310 42
473 499 44
474 4 39
474 65 21
474 98 4
474 116 38
474 141 3
474 181 21
474 219 35
474 349 30
474 372 18
474 399 46
474 413 28
474 462 8
475 98 5
475 115 7
475 245 30
475 246 45
475 323 14
475 455 27
476 71 20
476 119 30
476 140 22
476 154 20
476 159 40
476 210 47
476 282 8
476 338 35
477 8 12
477 34 4
477 51 19
477 60 43
477 80 33
477 144 43
477 189 27
477 246 50
477 305 50
477 320 24
477 403 30
477 404 42
477 405 41
477 437 32
477 450 10
478 22 2
478 53 36
478 59 41
478 72 46
478 76 26
478 218 40
478 273 40
478 386 10
479 14 47
479 96 6
479 233 21
479 250 40
479 253 44
479 313 43
479 335 39
479 416 2
479 424 21
479 460 28
479 476 20
479 482 21
480 42 41
480 146 19
480 173 17
480 215 26
480 228 28
480 272 30
480 347 38
480 351 10
480 436 33
480 458 15
481 57 35
481 65 34
481 88 41
481 96 23
481 98 15
481 111 39
481 203 31
481 294 22
481 312 26
481 331 29
481 366 18
481 488 44
482 92 13
482 109 34
482 154 29
482 197 12
482 243 8
482 341 26
482 374 41
482 398 31
482 427 11
482 438 49
482 452 35
482 487 35
483 6 40
483 17 46
483 153 14
483 395 12
483 416 11
484 6 48
484 23 50
484 147 19
484 155 16
484 179 1
484 185 43
484 301 31
484 305 35
484 404 3
484 469 40
484 486 48
485 67 46
485 84 41
485 246 34
485 268 9
485 272 20
485 280 17
485 282 18
485 403 36
485 445 34
486 101 37
486 137 35
486 246 21
486 293 17
486 401 28
486 482 37
487 42 31
487 82 44
487 94 46
487 118 16
487 121 2
487 156 13
487 157 46
487 208 4
487 260 43
487 338 17
487 349 50
487 377 3
487 416 13
487 458 2
488 108 29
488 114 37
488 122 42
488 181 10
488 182 31
488 282 32
488 292 3
489 29 13
489 56 35
489 75 35
489 115 20
489 204 42
489 213 5
489 223 49
489 257 46
489 308 32
489 432 2
489 448 45
489 467 21
490 7 50
490 24 23
490 43 7
490 100 35
490 103 25
490 131 14
490 216 29
490 252 12
490 275 32
490 293 14
490 315 17
490 355 13
490 367 41
490 375 15
490 404 40
490 448 43
491 190 48
491 197 39
491 225 13
491 330 14
491 391 50
491 482 48
492 42 42
492 89 42
492 106 49
492 128 37
492 184 50
492 210 39
492 357 7
492 440 2
492 457 47
493 8 8
493 63 24
493 69 8
493 108 1
493 155 34
493 185 21
493 200 4
493 268 4
493 270 45
493 275 31
493 390 20
493 437 43
493 441 12
493 456 6
494 24 28
494 38 1
494 93 40
494 200 22
494 235 18
494 266 45
494 305 42
494 323 9
494 354 41
494 360 18
494 415 46
494 485 30
495 106 48
495 210 35
495 223 49
495 281 9
495 309 10
495 350 46
495 371 18
495 442 48
495 494 47
496 62 15
496 104 41
496 166 47
496 228 7
496 237 28
496 244 38
496 259 22
496 311 23
496 363 39
496 418 4
497 36 4
497 47 9
497 133 41
497 284 9
497 433 16
497 490 19
498 16 28
498 55 14
498 129 34
498 163 35
498 173 6
498 207 43
498 385 12
498 425 49
498 427 10
499 21 11
499 27 4
499 75 31
499 101 35
499 136 45
499 142 9
499 153 33
499 171 18
499 207 7
499 307 7
499 313 7
499 361 18
499 406 4
499 464 37
499 484 8
500 28 47
500 81 12
500 204 9
500 217 6
500 250 16
500 299 40
500 402 30
500 492 4
500 494 35
